               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.065352,              0.0142,            0.026143,             0.65584,                0.85,             0.91091,             0.35606,            0.047841,           0.0071562,            0.012703,            0.009307,            0.009307,            0.009307
                  37,            0.060069,            0.014679,             0.02298,              0.5808,                 0.8,             0.78027,             0.31133,            0.044432,           0.0071719,            0.013727,           0.0092872,           0.0092872,           0.0092872
                  38,            0.060015,             0.01485,            0.025394,             0.61684,                 0.8,             0.78774,              0.5675,            0.038851,           0.0078776,            0.016164,           0.0092674,           0.0092674,           0.0092674
                  39,            0.060896,            0.015584,            0.022684,             0.78127,             0.99432,             0.93886,             0.36941,            0.034192,           0.0083335,            0.015188,           0.0092476,           0.0092476,           0.0092476
                  40,            0.055233,            0.014682,            0.022393,             0.78127,             0.99432,             0.93886,             0.36941,            0.034192,           0.0083335,            0.015188,           0.0092278,           0.0092278,           0.0092278
                  41,            0.051697,            0.012941,            0.023293,             0.82908,             0.97952,             0.97291,             0.50593,            0.030562,           0.0077603,            0.014368,            0.009208,            0.009208,            0.009208
                  42,            0.052182,            0.013472,            0.020649,             0.59681,             0.98947,             0.76029,             0.49851,            0.044613,           0.0075334,             0.01283,           0.0091882,           0.0091882,           0.0091882
                  43,            0.057306,            0.014117,            0.018811,             0.60418,                   1,             0.72851,              0.3104,            0.035576,            0.007852,             0.01073,           0.0091684,           0.0091684,           0.0091684
                  44,            0.056294,            0.012435,            0.016597,             0.60418,                   1,             0.72851,              0.3104,            0.035576,            0.007852,             0.01073,           0.0091486,           0.0091486,           0.0091486
                  45,             0.05877,            0.012833,            0.015946,             0.65581,                   1,             0.69004,             0.41244,            0.038684,            0.008638,           0.0087494,           0.0091288,           0.0091288,           0.0091288
                  46,            0.058649,            0.013033,            0.013969,             0.82942,                   1,             0.97208,             0.59335,            0.031912,           0.0085138,            0.007686,            0.009109,            0.009109,            0.009109
                  47,            0.062688,            0.011003,            0.013758,             0.43623,                   1,             0.49203,             0.15539,            0.040415,           0.0083061,           0.0069433,           0.0090892,           0.0090892,           0.0090892
                  48,             0.05941,            0.013559,            0.014922,             0.43623,                   1,             0.49203,             0.15539,            0.040415,           0.0083061,           0.0069433,           0.0090694,           0.0090694,           0.0090694
                  49,            0.057329,            0.012093,            0.013905,             0.94014,                   1,               0.995,             0.53769,            0.034403,           0.0069688,           0.0065787,           0.0090496,           0.0090496,           0.0090496
                  50,            0.053145,            0.013519,            0.011889,             0.91839,             0.95616,             0.98201,             0.33377,            0.035974,           0.0072301,           0.0062495,           0.0090298,           0.0090298,           0.0090298
                  51,            0.058511,            0.011442,             0.01303,             0.63593,                   1,             0.69777,             0.30556,             0.04501,           0.0072172,           0.0059532,             0.00901,             0.00901,             0.00901
                  52,            0.060404,            0.013518,            0.012985,             0.63593,                   1,             0.69777,             0.30556,             0.04501,           0.0072172,           0.0059532,           0.0089902,           0.0089902,           0.0089902
                  53,            0.053024,            0.014294,            0.011187,             0.67888,                   1,             0.96782,             0.46688,            0.031575,           0.0067485,           0.0057811,           0.0089704,           0.0089704,           0.0089704
                  54,            0.053735,              0.0133,            0.016707,             0.29843,                   1,             0.62901,             0.20005,            0.037128,           0.0071896,           0.0055649,           0.0089506,           0.0089506,           0.0089506
                  55,            0.061131,            0.012024,            0.011878,             0.63433,             0.98421,             0.96261,             0.46081,             0.03239,           0.0065871,           0.0054501,           0.0089308,           0.0089308,           0.0089308
                  56,             0.05498,            0.011309,             0.01367,             0.63433,             0.98421,             0.96261,             0.46081,             0.03239,           0.0065871,           0.0054501,            0.008911,            0.008911,            0.008911
                  57,            0.049465,            0.012366,            0.011118,             0.52812,                   1,             0.93399,             0.35876,            0.029985,           0.0062899,           0.0053201,           0.0088912,           0.0088912,           0.0088912
                  58,            0.049963,            0.011803,            0.012967,             0.68572,               0.975,             0.87534,             0.30155,            0.034944,           0.0064909,           0.0053643,           0.0088714,           0.0088714,           0.0088714
                  59,            0.055723,            0.011062,            0.010616,             0.41784,                   1,             0.73764,             0.29035,            0.032717,           0.0065896,           0.0053949,           0.0088516,           0.0088516,           0.0088516
                  60,            0.052746,            0.011282,            0.013467,             0.41784,                   1,             0.73764,             0.29035,            0.032717,           0.0065896,           0.0053949,           0.0088318,           0.0088318,           0.0088318
                  61,             0.04835,            0.010323,            0.011429,              0.7155,                   1,             0.83537,              0.4324,            0.023759,           0.0060853,           0.0055479,            0.008812,            0.008812,            0.008812
                  62,             0.04983,            0.012286,             0.01121,             0.41139,              0.9756,             0.64093,             0.38322,            0.038621,           0.0066024,           0.0054713,           0.0087922,           0.0087922,           0.0087922
                  63,            0.056535,            0.011051,            0.012331,             0.55246,             0.96817,             0.80937,             0.42883,            0.033594,           0.0068002,           0.0054153,           0.0087724,           0.0087724,           0.0087724
                  64,            0.051548,            0.010048,            0.010348,             0.55246,             0.96817,             0.80937,             0.42883,            0.033594,           0.0068002,           0.0054153,           0.0087526,           0.0087526,           0.0087526
